A	B	C	D	E11	E22	G12	G23	Mass	Load
31.15908	13.47612	13.41945	25.1988	136.03374	9.188397	4.905312	3.348806	0.840048	40.235
29.54016	11.40216	16.26315	26.8653	122.66194	7.27947	5.27184	2.884736	0.847822	36.899
39.28536	13.5396	14.78175	24.3258	122.49514	8.608923	4.411872	2.744957	0.877154	44.567
40.07916	12.96816	13.6443	26.3892	118.81859	7.469334	5.447856	3.25748	0.882325	44.169
39.09492	11.65608	18.20745	23.4528	138.03951	8.199792	4.9284	3.335755	0.883873	53.805
40.99968	12.66132	16.9245	35.0658	155.58826	8.633223	5.066928	2.774779	0.933532	65.279
40.65048	14.56596	14.49075	35.5419	149.40415	8.462799	4.608096	3.056197	0.926521	60.195
43.12656	12.39684	16.89795	28.0821	157.34244	8.136531	4.547472	2.746817	0.91452	65.416
43.28496	13.02108	12.1497	27.8706	151.57672	8.11215	4.92552	2.739377	0.89534	54.72
43.79292	14.28024	13.24755	32.0502	127.00847	8.029368	4.769712	3.238849	0.920484	54.284
39.03156	10.61916	15.1521	23.6382	129.09764	8.764686	4.238736	3.065528	0.869482	44.849
42.01524	10.86252	16.1706	35.8329	156.84204	8.50662	4.997664	3.283582	0.935326	61.339
33.69852	11.88888	13.00935	24.1143	128.42905	8.808507	5.367072	2.78597	0.84191	38.702
29.28636	9.64572	15.7605	26.2833	133.44278	8.837748	4.628304	2.780359	0.839581	38.164
37.85688	12.82008	13.30035	36.3885	154.41788	9.047133	5.04384	3.332035	0.910352	54.564
36.58716	11.79372	12.93	23.8233	119.06879	7.970967	4.729296	3.080439	0.852535	40.095
40.49172	11.16936	14.2263	31.8915	153.91609	8.866989	5.52	3.039426	0.905141	55.238
32.49252	10.77792	16.13085	36.2298	158.42942	8.667324	4.660032	3.154994	0.896295	49.941
36.04752	14.5236	14.9802	28.8492	141.04747	8.10243	4.974576	3.160574	0.883171	50.731
34.68276	10.344	12.6126	26.6802	123.91572	7.596018	5.176608	3.471814	0.851732	36.609
33.25428	12.38616	18.24705	26.4684	149.06916	7.318431	4.92264	3.440132	0.87214	52.429
33.98436	10.76724	14.5437	29.352	118.4002	8.121951	4.131936	2.996553	0.86819	37.187
28.52424	13.34904	12.05715	28.479	146.31279	8.297235	4.32816	2.970482	0.835297	40.388
39.76164	12.62952	15.97215	32.9496	155.83846	7.425513	5.51424	3.050617	0.91579	58.419
31.28616	9.80436	17.05665	32.4732	148.15037	9.154296	5.110224	2.845614	0.878666	44.746
41.60268	13.95228	17.2551	29.6694	147.23158	9.149436	4.68888	3.046897	0.918432	64.356
28.11168	12.86232	16.56735	33.4785	132.77419	7.668999	5.309328	3.209027	0.871372	40.86
32.39712	10.13244	14.46435	33.558	134.19477	6.89958	5.222784	2.927609	0.877191	39.988
36.39672	12.07932	14.29245	35.0394	120.74096	8.940051	4.763904	2.709555	0.901933	43.507
30.65112	11.01072	14.4246	30.5424	159.34821	8.565021	5.413248	3.074828	0.858649	46.033
31.44492	10.12188	13.60455	31.5474	121.07456	8.828028	5.211216	3.41589	0.861357	36.214
28.08	12.73536	15.8664	29.5107	158.09443	7.659279	5.009232	3.231378	0.852484	45.626
38.1744	11.2752	17.7312	28.9287	149.82254	7.157727	5.182368	2.679733	0.898549	54.067
32.33376	11.46564	18.1809	30.3306	130.01643	8.48718	4.495536	3.518407	0.881533	45.838
34.0794	12.28044	16.6335	28.9551	149.48755	8.550441	5.439216	3.529598	0.878245	52.502
