A	B	C	D	MeanMass	MeanLoad	ReliableLoad	SDLoad
30.0293	14.06087	14.9331	25.8532	0.845893959	44.38396025	38.38869828	1.998435983
30.0308	10.21509	16.42605	26.4549	0.847416698	41.68683654	36.17261055	1.83808943
30.0322	12.65991	17.36626	26.114	0.854329966	46.62458242	40.78490842	1.946572927
30.0337	12.8624	12.86883	35.8646	0.874047887	42.58228279	37.13983657	1.814162654
30.0351	11.73724	15.35349	33.582	0.873687296	43.19186262	37.49380772	1.899366203
30.0365	13.35466	17.58904	36.0011	0.895285649	50.40144972	44.39114609	2.003449903
30.038	13.21202	13.19281	28.4877	0.846527883	41.7143776	36.14475942	1.856553632
30.0394	11.36319	15.27265	27.3101	0.847490152	41.95018619	36.38404889	1.855393329
30.0409	10.34426	14.63546	27.9081	0.845762446	40.83564386	35.48314481	1.784180035
30.0423	11.42204	15.11575	34.2354	0.874910166	42.80167578	37.1522635	1.88315187
30.0438	12.59009	16.17513	28.3117	0.857683949	44.78893195	38.98193592	1.935680187
30.0452	12.61103	12.99578	30.9942	0.854648674	41.66192987	36.32117634	1.780264827
30.0467	11.57864	16.15657	26.6099	0.849166824	43.07621645	37.39363155	1.894209496
30.0481	12.91626	16.57457	30.2596	0.867505523	46.29870644	40.49987604	1.932958289
30.0496	12.73472	15.83019	23.9348	0.83975279	43.90047777	38.0146834	1.961946505
30.051	11.08988	17.57347	29.7859	0.867289507	45.01452287	39.21989368	1.931557877
30.0525	12.7437	16.7171	30.9216	0.870695368	46.42490635	40.60951814	1.938477603
30.0539	11.01606	12.76283	28.7227	0.842113119	40.22157152	35.16231081	1.686433169
30.0554	12.01005	13.07783	33.7124	0.865120566	41.86860948	36.53589418	1.7775854
30.0568	10.50735	14.89537	35.1484	0.87633169	42.05560946	36.53109954	1.841517427
30.0583	13.56113	13.46828	30.4589	0.856008518	42.42980983	36.7558058	1.891349184
30.0597	12.54919	14.35879	36.0824	0.880947785	43.45899227	37.76382542	1.898403509
30.0612	9.50289	17.85194	32.3748	0.876250083	44.1203699	38.43525534	1.895052724
30.0626	11.68737	12.08791	31.3744	0.851042607	40.65175986	35.52173275	1.710022149
30.064	10.8814	15.89726	33.5697	0.875135815	43.11149677	37.52379372	1.862581972
30.0655	9.85699	15.58765	25.2318	0.838403995	40.57408684	35.13256817	1.813853469
30.0669	14.19902	14.7732	25.6907	0.845009784	44.35561817	38.36806965	1.995864812
30.0684	10.11334	12.04779	25.1641	0.824001016	38.4238282	33.41236447	1.670500723
30.0698	10.07644	12.02024	26.2605	0.828036858	38.58037546	33.57300069	1.669137726
30.0713	13.60103	16.89855	24.3372	0.846977995	47.10111224	41.2043377	1.965606589
30.0727	11.91878	12.76343	35.7895	0.871794866	41.84456095	36.587594	1.752335759
30.0742	11.26294	17.10097	24.4418	0.844608148	43.63984701	37.93068941	1.903067128
30.0756	11.19112	16.86083	31.5467	0.871739447	44.24802665	38.57166055	1.892136546
30.0771	12.92374	14.03421	28.1776	0.848736378	42.13633958	36.43712627	1.899752338
30.0785	14.17558	15.3008	26.2555	0.849272765	45.34141082	39.31901306	2.007481316
30.08	13.22698	15.16725	24.0099	0.838497662	43.4700994	37.51147396	1.986223714
30.0814	14.07883	17.1908	35.5606	0.89292438	50.64673016	44.65283073	1.997981797
30.0829	10.99661	13.02573	25.3363	0.830151744	39.88272527	34.76514203	1.705874164
30.0843	11.74821	17.1375	24.7297	0.846709484	44.42131267	38.65081535	1.923513859
30.0858	12.20356	16.34042	33.609	0.879022097	45.34370932	39.6175721	1.908727046
30.0872	14.05539	13.69226	24.8737	0.837099933	42.74577029	36.94141235	1.934800818
